Sampling Method,Stage,Class,Count,Percentage,Total Samples,Validation Folds
No Sampling,After Sampling,Benign,54850.4,18.69847304313106,293341.6,5
No Sampling,After Sampling,Bot,1093.6,0.37280767560703615,293341.6,5
No Sampling,After Sampling,Brute Force,5948.0,2.027670129302012,293341.6,5
No Sampling,After Sampling,DDoS,180193.6,61.42790521370519,293341.6,5
No Sampling,After Sampling,Infiltrations,20.0,0.006817989674855453,293341.6,5
No Sampling,After Sampling,Port Scan,50858.4,17.337602303797485,293341.6,5
No Sampling,After Sampling,SQL-Injection,12.0,0.004090793804913272,293341.6,5
No Sampling,After Sampling,XSS,365.6,0.12463285097744758,293341.6,5
No Sampling,Before Sampling,Benign,54850.4,18.69847304313106,293341.6,5
No Sampling,Before Sampling,Bot,1093.6,0.37280767560703615,293341.6,5
No Sampling,Before Sampling,Brute Force,5948.0,2.027670129302012,293341.6,5
No Sampling,Before Sampling,DDoS,180193.6,61.42790521370519,293341.6,5
No Sampling,Before Sampling,Infiltrations,20.0,0.006817989674855453,293341.6,5
No Sampling,Before Sampling,Port Scan,50858.4,17.337602303797485,293341.6,5
No Sampling,Before Sampling,SQL-Injection,12.0,0.004090793804913272,293341.6,5
No Sampling,Before Sampling,XSS,365.6,0.12463285097744758,293341.6,5
SMOTE,After Sampling,Benign,77000.0,10.706435652380074,719193.6,5
SMOTE,After Sampling,Bot,77000.0,10.706435652380074,719193.6,5
SMOTE,After Sampling,Brute Force,77000.0,10.706435652380074,719193.6,5
SMOTE,After Sampling,DDoS,180193.6,25.054950433339496,719193.6,5
SMOTE,After Sampling,Infiltrations,77000.0,10.706435652380074,719193.6,5
SMOTE,After Sampling,Port Scan,77000.0,10.706435652380074,719193.6,5
SMOTE,After Sampling,SQL-Injection,77000.0,10.706435652380074,719193.6,5
SMOTE,After Sampling,XSS,77000.0,10.706435652380074,719193.6,5
SMOTE,Before Sampling,Benign,54850.4,18.69847304313106,293341.6,5
SMOTE,Before Sampling,Bot,1093.6,0.37280767560703615,293341.6,5
SMOTE,Before Sampling,Brute Force,5948.0,2.027670129302012,293341.6,5
SMOTE,Before Sampling,DDoS,180193.6,61.42790521370519,293341.6,5
SMOTE,Before Sampling,Infiltrations,20.0,0.006817989674855453,293341.6,5
SMOTE,Before Sampling,Port Scan,50858.4,17.337602303797485,293341.6,5
SMOTE,Before Sampling,SQL-Injection,12.0,0.004090793804913272,293341.6,5
SMOTE,Before Sampling,XSS,365.6,0.12463285097744758,293341.6,5
SMOTE-Tomek,After Sampling,Benign,76683.6,10.690160225779186,717328.8,5
SMOTE-Tomek,After Sampling,Bot,76988.0,10.732595987094712,717328.8,5
SMOTE-Tomek,After Sampling,Brute Force,76381.8,10.64808703003142,717328.8,5
SMOTE-Tomek,After Sampling,DDoS,180072.4,25.103189146695808,717328.8,5
SMOTE-Tomek,After Sampling,Infiltrations,77000.0,10.734268952294503,717328.8,5
SMOTE-Tomek,After Sampling,Port Scan,76805.4,10.707140001353363,717328.8,5
SMOTE-Tomek,After Sampling,SQL-Injection,76998.4,10.73404592348555,717328.8,5
SMOTE-Tomek,After Sampling,XSS,76399.2,10.650512733265458,717328.8,5
SMOTE-Tomek,Before Sampling,Benign,54850.4,18.69847304313106,293341.6,5
SMOTE-Tomek,Before Sampling,Bot,1093.6,0.37280767560703615,293341.6,5
SMOTE-Tomek,Before Sampling,Brute Force,5948.0,2.027670129302012,293341.6,5
SMOTE-Tomek,Before Sampling,DDoS,180193.6,61.42790521370519,293341.6,5
SMOTE-Tomek,Before Sampling,Infiltrations,20.0,0.006817989674855453,293341.6,5
SMOTE-Tomek,Before Sampling,Port Scan,50858.4,17.337602303797485,293341.6,5
SMOTE-Tomek,Before Sampling,SQL-Injection,12.0,0.004090793804913272,293341.6,5
SMOTE-Tomek,Before Sampling,XSS,365.6,0.12463285097744758,293341.6,5
Tomek,After Sampling,Benign,54309.4,18.606562012270974,291883.0,5
Tomek,After Sampling,Bot,1015.4,0.34787870590159076,291883.0,5
Tomek,After Sampling,Brute Force,5747.0,1.9689397237176984,291883.0,5
Tomek,After Sampling,DDoS,180008.0,61.67129134496594,291883.0,5
Tomek,After Sampling,Infiltrations,17.4,0.0059612124263160125,291883.0,5
Tomek,After Sampling,Port Scan,50551.0,17.318923793859494,291883.0,5
Tomek,After Sampling,SQL-Injection,12.0,0.004111236691777595,291883.0,5
Tomek,After Sampling,XSS,222.8,0.07633197016621876,291883.0,5
Tomek,Before Sampling,Benign,54850.4,18.69847304313106,293341.6,5
Tomek,Before Sampling,Bot,1093.6,0.37280767560703615,293341.6,5
Tomek,Before Sampling,Brute Force,5948.0,2.027670129302012,293341.6,5
Tomek,Before Sampling,DDoS,180193.6,61.42790521370519,293341.6,5
Tomek,Before Sampling,Infiltrations,20.0,0.006817989674855453,293341.6,5
Tomek,Before Sampling,Port Scan,50858.4,17.337602303797485,293341.6,5
Tomek,Before Sampling,SQL-Injection,12.0,0.004090793804913272,293341.6,5
Tomek,Before Sampling,XSS,365.6,0.12463285097744758,293341.6,5
